Subject,Date,Run,Difficulty,GlideSlope_Error,Localizer_Error,Airspeed_Error,Cumulative_Error,Cumulative_Error_Rounded
24,20210629,6,4,2780.8591,1315.9497,739.1916,4836.0004,5000
24,20210629,7,1,3417.0399,1797.832,1568.8029,6783.6748,7000
24,20210629,8,2,3889.0035,1660.4132,2255.6408,7805.0575,8000
24,20210629,9,4,1902.7494,1939.0935,2547.0784,6388.9214,6000
24,20210629,10,2,721.5262,1535.9944,1318.7208,3576.2414,4000
24,20210629,11,3,2981.279,2776.124,2110.7425,7868.1454,8000
24,20210629,12,1,765.878,771.9673,790.1357,2327.9809,2000
26,20210716,1,1,211.7189,129.0321,1238.0123,1578.7633,2000
26,20210716,2,3,781.8808,504.8488,1142.4344,2429.164,2000
26,20210716,3,2,388.2169,448.5304,1114.9651,1951.7123,2000
26,20210716,4,4,951.9862,883.1773,1068.4049,2903.5684,3000
26,20210716,5,3,396.0265,556.6048,921.886,1874.5174,2000
26,20210716,6,4,616.2558,550.4014,919.3518,2086.009,2000
26,20210716,7,1,293.9054,327.299,691.1905,1312.395,1000
26,20210716,8,2,184.8823,434.2798,429.4362,1048.5983,1000
26,20210716,9,4,543.2165,907.0652,1155.2791,2605.5608,3000
26,20210716,10,2,549.2251,376.8615,1339.5649,2265.6514,2000
26,20210716,11,3,376.0362,319.3743,848.2235,1543.6341,2000
26,20210716,12,1,385.5683,294.8146,870.4429,1550.8259,2000
27,20210722,3,2,283.7038,534.5117,1318.7025,2136.918,2000
27,20210722,4,4,769.6897,1140.0232,933.3074,2843.0202,3000
27,20210722,5,3,592.8845,884.4777,1540.5516,3017.9139,3000
27,20210722,6,4,812.4346,1006.8081,745.2182,2564.461,3000
27,20210722,7,1,894.4308,204.1303,1017.5707,2116.1319,2000
27,20210722,8,2,525.6718,464.8409,1274.2105,2264.7233,2000
27,20210722,9,4,622.7993,670.7377,782.2722,2075.8091,2000
27,20210722,10,2,441.787,296.8463,1160.1695,1898.8028,2000
27,20210722,11,3,545.9758,440.4261,1269.8139,2256.2157,2000
27,20210722,12,1,391.7245,95.7593,645.4036,1132.8875,1000
